name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.HW.FP/TONS,2022-04-23 00:00:00,D,7267.178541666,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-24 00:00:00,D,13.196855833,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-24 00:00:00,D,55.640000000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-24 00:00:00,D,92.029347826,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-24 00:00:00,D,36550.917395833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-24 00:00:00,D,5770.501145833,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-24 00:00:00,D,4013.726458333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-25 00:00:00,D,18.172274583,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-25 00:00:00,D,46.097333333,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-25 00:00:00,D,86.358333333,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-25 00:00:00,D,23006.238802083,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-25 00:00:00,D,7369.046666666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-25 00:00:00,D,2532.951854166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-26 00:00:00,D,4.924150416,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-26 00:00:00,D,46.160919540,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-26 00:00:00,D,82.943157894,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-26 00:00:00,D,23779.760104166,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-26 00:00:00,D,5422.154583333,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-26 00:00:00,D,4953.448229166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-27 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-27 00:00:00,D,45.072413793,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-27 00:00:00,D,78.593750000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-27 00:00:00,D,29111.421145833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-27 00:00:00,D,8677.964375000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-27 00:00:00,D,10860.425000000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-28 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-28 00:00:00,D,50.804545454,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-28 00:00:00,D,85.237500000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-28 00:00:00,D,19924.720541666,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-28 00:00:00,D,5664.983229166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-28 00:00:00,D,12967.145104166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-29 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-29 00:00:00,D,45.196428571,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-29 00:00:00,D,80.432291666,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-29 00:00:00,D,23930.103750000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-29 00:00:00,D,8062.374375000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-29 00:00:00,D,10536.218333333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-30 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-30 00:00:00,D,59.387837837,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-30 00:00:00,D,94.621052631,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-30 00:00:00,D,36057.600833333,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-30 00:00:00,D,6616.102500000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-30 00:00:00,D,9984.230833333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-01 00:00:00,D,4.566018437,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-01 00:00:00,D,54.389247311,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-01 00:00:00,D,87.946250000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-01 00:00:00,D,38721.629583333,Domestic Hot Water for Dining
